dish_id,name,description,price,restaurant_id
0,Apple Turnover,No description,$0.85,0
1,BOGO Whopper,No description,$10.38,0
2,NEW! Mushroom & Swiss Whopper Melt Meal,No description,$17.14,0
3,NEW! Bacon Whopper Melt Meal,No description,$18.18,0
4,NEW! Classic Whopper Melt Meal,No description,$16.88,0
5,NEW! Double Classic Whopper Melt Meal,No description,$18.18,0
6,NEW! Cotton Candy Shake,No description,$6.89,0
7,NEW! Cotton Candy BK Blast,No description,$4.59,0
8,Family Bundle For 3 with King Jr. Meal,No description,$24.99,0
9,Value Bundle For 4,No description,$29.99,0
10,Bacon Cheeseburger,No description,$4.14,0
11,WHOPPER with Cheese Meal,No description,$17.14,0
12,WHOPPER,No description,$10.38,0
13,Bacon King Meal,No description,$21.04,0
14,WHOPPER Meal,No description,$15.84,0
15,WHOPPER with Cheese,No description,$11.68,0
16,Bacon King,No description,$15.58,0
17,Roadhouse King Meal,No description,$21.04,0
18,Double WHOPPER with Cheese Meal,No description,$19.74,0
19,Impossible Whopper,No description,$10.38,0
0,Fresh Start,No description,$15.00,1
1,Granola on Yogurt,No description,$13.95,1
2,Acai Bowl,No description,$16.00,1
3,Mount Royal Bagel and Smoked Salmon,No description,$16.00,1
4,Straight Eggs,No description,$18.00,1
5,Omelette,No description,$21.00,1
6,Breakfast Tacos,No description,$21.50,1
7,Mexican Eggs,No description,$22.00,1
8,Breakfast Poutine,No description,$22.00,1
9,Huevos Rancheros,No description,$20.50,1
10,Arancini Benny,No description,$19.00,1
11,Fried Chicken Benny,No description,$21.00,1
12,House-Made Sausage Benny,No description,$21.00,1
13,Mexi Benny,No description,$21.00,1
14,Salmon Benny,No description,$21.50,1
15,The Canadian Benny,No description,$21.00,1
16,Veggie Benny,No description,$21.00,1
17,Brisket Benny,No description,$22.00,1
18,Beef Brisket Hash,No description,$23.00,1
19,Rotisserie Chicken Hash,No description,$22.50,1
0,#16 Tandoori Twist,No description,$9.31,2
1,#17 Cuban Crunch,No description,$10.01,2
2,#18 Nashville-Style Hot Chicken,No description,$10.60,2
3,#19 Chimichurri Steak & Cheese,No description,$11.78,2
4,#20 Little Sicily,No description,$10.13,2
5,#21 Tandoori- Spiced Mozza,No description,$8.48,2
6,#22 The Big Veggie,No description,$9.78,2
7,#2 Great Canadian Club,No description,$10.25,2
8,#23 Mozzarella Melt,No description,$8.48,2
9,#24 Chimichurri Veggie,No description,$9.42,2
10,#25 Shawarma Chicken,No description,$14.62,2
11,#25 Shawarma Chicken,No description,$14.62,2
12,Jerk-Spiced Chicken,No description,$13.55,2
13,Jerk-Spiced Chicken,No description,$13.55,2
14,#5 Chicken Rancher,No description,$11.08,2
15,#1 Canuck Classic,No description,$9.19,2
16,#8 Steak'n Bacon,No description,$11.78,2
17,#3 Turkey Rancher,No description,$10.49,2
18,#6 Teriyaki Crunch,No description,$10.37,2
