restaurant_id,name,description,address,city,created_on
0,Burger King (1328 Douglas Street),"Chain in Chinatown offering flame-grilled burgers, breakfast sandwiches, and sides. Favourites include Whopper With Cheese Meal, 10pc Chicken Nuggets.","1328 Douglas Street, Victoria, BC V8W 2E8",Victoria,2024-07-02
1,The Ruby (Johnson),,"642a Johnson St, Victoria, BC V8W 1M6",Victoria,2024-07-02
2,Subway (1324 Douglas St),"Subway in Chinatown offering subs, wraps, salads, and breakfast items. Favourites include Italian B.M.T, Turkey Breast, Steak & Cheese.","1324 Douglas Street, Victoria, BC V8W",Victoria,2024-07-02
4,Shanzee's Biscuit Cafe,"Chinatown cafe known for Biscuit Benny, Trailer Jam, and Happy Campers Breakfast. Offers biscuits, burgers, breakfast items.","529 Pandora Ave, Victoria, BC V8W 1N5",Victoria,2024-07-02
5,Crispy Classic Chicken (1327 Douglas St. & Johnson),,"1327 Douglas St. & Johnson, VICTORIA, BC V8W 2E9",Victoria,2024-07-02
6,Rise and Grind,"Downtown cafe with wraps, salads, sandwiches, and lattes. Favourites include The Originator, Boss Hog, The Foghorn.","1294 Broad St, Victoria, BC V8W",Victoria,2024-07-02
7,Castello Coffee,"Chinatown cafe with bagels, muffins, and a variety of lattes. Favourites include Belt Bagel, Cafe Latte.","1802 Douglas Street, Victoria, BC V8W",Victoria,2024-07-02
9,Cat's Coffee & Cake,"Chinatown cafe with swiss rolls, cheesecakes, and iced beverages. Favourites include Iced Latte, Mixed Berries Tiramisu.","1213 Douglas Street, Victoria, BC V8W",Victoria,2024-07-02
10,Yates Coffee Bar,"Chinatown coffee bar with bakery items, breakfast fare, wraps, and crunch wraps. Popular for Peanut Butter & Banana Puppy Treats.","733 Yates St, Victoria, NAMER V8W 1L6",Victoria,2024-07-02
11,Franks Honeybun Cafe,,"605 Yates  Street , Victoria, BC V8w1l1",Victoria,2024-07-02
12,McDonald's (Pandora),"Fast-food chain in Harris Green with burgers, wraps, and breakfast items. Big Mac and McNuggets favored.","980 Pandora Avenue, VICTORIA, BC V8V 3P3",Victoria,2024-07-02
